Front,Back
Q3: What is the advantage of reserving an appeal?,"A3: The advantage of reserving an appeal is that you don’t have to appeal immediately, you are just giving yourself time to think about it and make a decision. During these 30 days you may want to review your case, talk to a lawyer or the Florence Project about your chances on appeal, and think about your decision.

"
Q4: What happens if you decide not to appeal within the 30 days of reserving an appeal?,"A4: If you decide not to appeal in the 30 days, the judge’s decision will become the final order and if you were denied relief you will be deported.

"
Q5: What does it mean to waive your right to appeal?,"A5: Waiving your right to appeal means that you are absolutely sure of not wanting to appeal your case at the time of your immigration hearing. When the judge asks if you want to appeal his decision, you should tell him NO, which means you are giving up your right to appeal."
Q1: What happens if you are detained near the border and you accept the judge's decision as final?,"A1: If you are detained near the border and you accept the judge's decision as final, you will probably be deported that same day and you have given up your opportunity to file an appeal to the BIA.

"
Q2: What is the Notice of Appeal or Form EOIR-26?,"A2: The Notice of Appeal, also called an ""NOA"" or Form EOIR-26, is the important paperwork you receive when you tell the judge you want to appeal.

"
Q3: How long do you have to file the Notice of Appeal with the BIA to start the appeal process?,"A3: You have 30 days from the date of your decision to file the Notice of Appeal with the BIA to start the appeal process.

"
Q4: What happens if the BIA receives your Notice of Appeal after the deadline?,"A4: If the BIA receives your Notice of Appeal after the deadline, it will not consider your appeal and the Immigration Judge’s decision will become final.

"
Q5: When is it safe to waive your right to appeal?,"A5: It is safe to waive your right to appeal if the judge makes a final decision that is good for you, for example, if she grants you cancellation of removal. 

"
Q6: Can the government attorney appeal even if you have been granted relief?,"A6: Yes, the government attorney may appeal but if you have been granted relief you don’t want the BIA to reverse the judge’s decision in your favor. 

"
Q7: When is the best time to mail your Notice of Appeal?,A7: It is best to mail your Notice of Appeal at least 10 days before the 30th day to make sure it gets there in time.
Q1: What is the EOIR 26 form?,"A1: The EOIR 26 form is the actual appeal form for immigration removal defense. It is usually printed on blue paper and requires careful completion of all instructions and required answers.

"
Q2: What should you do if you plan to write a brief for your appeal?,"A2: If you plan to write a brief, you should check ""yes"" where it asks if you will write a brief on the EOIR 26 form. If you check ""yes"" and do not file a brief, your appeal will likely be dismissed.

"
Q3: What is the EOIR 26A form?,"A3: The EOIR 26A form is a Fee Waiver form. Generally, there is a fee of $110.00 if you are appealing a removal order. This fee can be waived if it is clear that you cannot afford this expense. You need to complete the information about your finances and sign the form.

"
Q4: Who are usually granted fee waivers?,"A4: Fee waivers are usually granted for people in detention.

"
Q5: What is the EOIR 33 form?,"A5: The EOIR 33 form is a Change of Address form. If you are released on bond from immigration detention or if you move while your appeal is pending, you must notify the BIA of this change within 5 working days. This form notifies the BIA of any change in address and it is usually printed on pink paper.

"
Q6: Do you need to complete the EOIR 33 form if you are not released from detention?,"A6: No, if you do not have a bond and are not going to be released from detention, you do not need to complete the EOIR 33 form."
Q1: What is the EOIR 27 form used for?,"A1: The EOIR 27 form is used by your attorney in immigration proceedings. If you are representing yourself, you do not need to complete this form.

"
Q2: Where should the completed forms be mailed to?,"A2: The completed forms should be mailed to the Clerk’s Office, Board of Immigration Appeals, PO Box 8530, Falls Church, VA 22041.

"
Q3: What should you do with the copies of the forms?,"A3: You need to mail a copy to ICE and keep a copy for your own records. If your court was in Van Nuys, California, mail a copy to: Chief Counsel - ICE, 606 S. Olive Street, 8th Floor, Los Angeles, CA 90014.

"
Q4: What is the Filing Receipt?,"A4: The Filing Receipt is an orange paper that the BIA mails to you about one month after receiving your Notice of Appeal. It confirms that they have received your appeal.

"
Q5: What should you do if you haven't received the Filing Receipt within a week or two of your Notice of Appeal being sent?,"A5: If you haven't received the Filing Receipt within a week or two of your Notice of Appeal being sent, call 1-800-898-7180 to check on whether there is a record of your appeal being filed.

"
Q6: What does the package that the BIA mails you a few weeks after you receive your filing receipt contain?,"A6: The package contains a copy of the transcript of your immigration hearing, the Immigration Judge’s decision if it was an oral decision, and a Briefing Schedule (on orange paper). The Briefing Schedule gives you the timeline for your appeal process."
Q1: What is the usual deadline for sending the BIA your written brief?,"A1: The usual deadline for sending the BIA your written brief is three weeks from the date you receive it.

"
Q2: What should you do if you need more time to prepare your brief?,"A2: If you need more time to prepare your brief, you can file a Motion for Extension of Time to File the Respondent’s Brief. This must be filed before your brief due date.

"
Q3: What should you include in your Motion for Extension of Time to File the Respondent’s Brief?,"A3: In your Motion for Extension of Time to File the Respondent’s Brief, it is a good idea to include some reasons why you need more time, such as being detained, not having a lawyer, or having limited access to the law library.

"
Q4: Does mailing a request for an extension automatically extend the filing deadline?,"A4: No, mailing a request for an extension does not automatically extend the filing deadline.

"
Q5: What is a Motion for Summary Affirmance?,"A5: A Motion for Summary Affirmance is a document filed by ICE asking the BIA to agree with the judge’s decision denying you relief.

"
Q6: What is the purpose of a brief?,"A6: The purpose of a brief is to provide a written argument explaining in detail why you think the judge made the wrong decision in your case.

"
Q7: What should you do when your brief is finished?,"A7: When your brief is finished, you should attach the orange Briefing Schedule or Briefing Extension documents in front and include a written Certificate of Service at the end of your brief."
Q1: What is the process for mailing a brief in an immigration case?,"A1: You must sign your brief and your certificate of service, then make one copy for ICE and one for your own records. Mail the original (with the orange Briefing Schedule or Briefing Extension) to the BIA at the specified address and one copy to ICE at the specified address.

"
Q2: How can you check the status of your appeal?,"A2: You can check for a decision from the BIA by calling 1-800-898-7180.

"
Q3: What is the estimated time for the BIA to make a decision?,"A3: The BIA is supposed to make a decision within six months if you are detained. However, the BIA may take longer in some cases.

"
Q4: What happens if you decide to withdraw your appeal?,"A4: If you decide to withdraw your appeal, you may file a Motion to Withdraw Appeal by mailing a letter explaining you want to withdraw your appeal to the BIA at the specified address. If you withdraw your appeal, the Immigration Judge's decision becomes final and it is extremely difficult to reopen your appeal.

"
Q5: What are the possible outcomes of an appeal?,"A5: The BIA may reverse the judge’s decision, may affirm (or agree with) the judge’s decision, or may remand the case (send it back to the judge) for another hearing.

"
Q6: What should you do if you are confused by the BIA's decision?,"A6: If you are confused by the decision, you can send a copy of the decision to the Florence Project with a letter so they can review it for you."
Q1: What happens if you lose your appeal on the issue of removability or if the government wins its appeal of the judge’s decision in your favor?,"A1: You have the right to appeal that decision to an even higher court. You have 30 calendar days to file a Petition for Review (appeal) to the U.S. Court of Appeals for the Ninth Circuit.

"
Q2: What might happen during the 30 days that you have to file a Petition for Review with the Ninth Circuit?,"A2: ICE may try to deport you, especially if you are from Mexico. If you are from Mexico and you are detained in Arizona or along the border, this could happen the day that the BIA orders you deported.

"
Q3: What should you do if you plan to appeal your case to the Ninth Circuit?,"A3: It is important to have the Petition for Review ready to go right away.

"
Q4: What happens if the Immigration Judge grants your case?,"A4: You will probably waive your right to appeal but ICE may still appeal the decision. They will have 30 days to file their Notice of Appeal.

"
Q5: What happens if ICE decides not to appeal?,"A5: You will probably be released within 30 to 35 days of the judge’s decision.

"
Q6: What happens if ICE does file their Notice of Appeal?,"A6: You will probably remain detained during the appeal because the judge’s decision in your favor does not become final until the BIA rules on ICE’s appeal.

"
Q7: What can you do if you remain detained during the appeal?,"A7: You may request a new bond hearing in front of the Immigration Judge in light of his or her decision in your favor or if you are experiencing prolonged detention.

"
Q8: What happens if you represented yourself before the Immigration Judge and won your case?,"A8: You may have the opportunity to have a pro bono attorney assigned to defend your case at the BIA when ICE appeals. If you win your case before the judge and you are pro se, the BIA Pro Bono Project may select your case for assistance by a pro bono attorney."
Q1: What are the two separate proceedings that will result in two separate orders by the judge in immigration law?,"A1: The two separate proceedings are removal and bond proceedings.

"
Q2: What are the three reasons an Immigration Judge might give for not granting a bond?,"A2: The three reasons are: (1) The judge does not have jurisdiction due to certain crimes in the defendant's record. (2) The judge believes the defendant is a danger to society. (3) The judge believes the defendant is a flight risk.

"
"Q3: What does it mean if the judge thinks the defendant is a ""danger to society""?","A3: This means that the judge thinks that once the defendant is released, they will have more problems with the law.

"
"Q4: What does it mean if the judge thinks the defendant is a ""flight risk""?","A4: This means that the judge thinks that if the defendant is free, they will disappear and not keep coming to their immigration hearings.

"
Q5: What should the defendant do if they want to appeal the judge's decision?,"A5: If the defendant wants to appeal, they should answer ""YES"" when the judge asks if they want to appeal the decision, and take the Notice of Appeal paperwork.

"
Q6: How long does the defendant have to send in the Notice of Appeal paperwork?,"A6: The defendant has 30 days to send in the Notice of Appeal paperwork.

"
Q7: What will the Board of Immigration Appeals (BIA) send to the defendant in the case of bond appeals?,"A7: The BIA will send a Memorandum Decision from the Immigration Judge, explaining why she made the decision."
Q1: What is the importance of the document received after a bond hearing?,"A1: The document received after a bond hearing is important to review and keep because it will be referenced in your brief. It contains the decisions made about your bond.

"
Q2: What is the Briefing Deadline?,"A2: The Briefing Deadline is a date set by the Board of Immigration Appeals (BIA) by which you must submit a written brief explaining why you think the judge made the wrong decision in your bond hearing.

"
Q3: What happens if you lose the bond appeal?,"A3: If you lose the bond appeal, you may subsequently file a petition challenging your detention with the local Federal District Court at any time. There is no deadline for this.

"
Q4: What can you do if you are facing prolonged detention and were denied bond?,"A4: If you are facing prolonged detention and were denied bond, you can write to the Florence Project to see if they can provide assistance.

"
Q5: How is appealing to the BIA described?,"A5: Appealing to the BIA can be complicated and overwhelming, especially without assistance from counsel."
Q1: What is the first step a judge takes after ordering a deportation and denying an application for cancellation of removal?,"A1: The judge asks the defendant if they would like to appeal the decision.

"
"Q2: If the defendant decides to appeal, what does the judge provide them with?","A2: The judge provides the defendant with forms for their appeal.

"
Q3: What is the time limit for the defendant to appeal the judge's decision?,"A3: The defendant has 30 days to appeal the judge's decision.

"
Q4: Where does the defendant need to send the appeal forms?,"A4: The defendant needs to send the appeal forms to the Board of Immigration Appeals in Virginia.

"
Q5: What does the defendant need to do by the appeal due date?,"A5: The defendant needs to fill out and mail the appeal forms to the BIA in Virginia, ensuring they arrive before the due date.

"
Q6: Does the defendant need to return to court on the appeal due date?,"A6: No, the defendant does not need to return to court on the appeal due date. They just need to ensure their appeal forms have been mailed and arrive at the BIA in Virginia before the due date."
Q1: What is the first section of a written brief to the BIA?,"A1: The first section of a written brief to the BIA is the Facts and Procedural History. This includes describing the important facts in your case, the decision that the Immigration Judge made, and any previous appeals, motions to reopen, or motions to reconsider filed in your case and their outcomes.

"
Q2: What is the second section of a written brief to the BIA?,"A2: The second section of a written brief to the BIA is the Issues Presented. This involves identifying the specific legal issues or factual problems in your case in the form of a question. The two main issues will usually be whether the evidence shows that you are in fact deportable and whether you should be granted relief from deportation.

"
Q3: What is the third section of a written brief to the BIA?,"A3: The third section of a written brief to the BIA is the Standard of Review. This section explains that the Board reviews findings of fact by an Immigration Judge under the “clearly erroneous” standard of review, but reviews “de novo” questions of law, discretion, and judgment and all other issues in appeals from decisions of Immigration Judges.

"
Q4: What is the fourth section of a written brief to the BIA?,"A4: The fourth section of a written brief to the BIA is the Argument. This involves specifically identifying each mistake that you think the Immigration Judge made in reaching his or her decision. For each mistake, you should specifically identify any information (law, facts, policy, or otherwise) in the record that supports your assertion that there was an error.

"
Q5: What is the fifth and final section of a written brief to the BIA?,"A5: The fifth and final section of a written brief to the BIA is the Conclusion. This involves indicating what you think the proper relief or remedy is. For example, you might state that the Immigration Judge erred in finding you removable and by denying your application for cancellation of removal, and ask that the Board terminate these proceedings or, in the alternative, grant your application for cancellation of removal in its discretion."
Q1: What is a Certificate of Service in the context of Immigration Law Removal Defense?,"A1: A Certificate of Service is a document that confirms a party has received a copy of the filed document. In the context of Immigration Law Removal Defense, it is used to confirm that the Department of Homeland Security has received an identical copy of a document related to the case.

"
Q2: Who is responsible for serving the Department of Homeland Security with an identical copy of the document?,"A2: The individual whose name is filled in the blank space on the Certificate of Service is responsible for serving the Department of Homeland Security with an identical copy of the document.

"
Q3: How can the Department of Homeland Security be served with an identical copy of the document?,"A3: The Department of Homeland Security can be served with an identical copy of the document either by mail or hand delivery.

"
Q4: What information is required on the Certificate of Service?,"A4: The Certificate of Service requires the name of the person serving the document, the address of the Department of Homeland Security where the document was served, the signature of the person serving the document, and the date the document was served."
Q1: What is the purpose of the Notice of Appeal (Form EOIR-26)?,"A1: The Notice of Appeal (Form EOIR-26) is used to appeal a decision made by an Immigration Judge. This could be a decision in merits proceedings (such as removal, deportation, exclusion, asylum, etc.), a decision in bond proceedings, or a decision denying a motion to reopen or reconsider.

"
Q2: How many decisions can you appeal with one Notice of Appeal (Form EOIR-26)?,"A2: You can only appeal one decision with one Notice of Appeal (Form EOIR-26). If you want to appeal more than one decision, you must use more than one form.

"
Q3: What information must be included in the Notice of Appeal (Form EOIR-26)?,"A3: The Notice of Appeal (Form EOIR-26) must include the type of decision you are appealing, the date of the decision, your detention status, the location of your last hearing, and the names and ""A"" numbers of everyone appealing the Immigration Judge's decision.

"
"Q4: What is the significance of the ""A"" number in the Notice of Appeal (Form EOIR-26)?","A4: The ""A"" number, or Alien Registration Number, is a unique identifier assigned to each immigrant. In the context of the Notice of Appeal (Form EOIR-26), the names and ""A"" numbers listed will be the only ones considered to be the subjects of the appeal.

"
Q5: What should be attached to the Notice of Appeal (Form EOIR-26)?,A5: A copy of the Immigration Judge’s decision that you are appealing should be attached to the Notice of Appeal (Form EOIR-26).It seems like there's no text provided for me to create flashcards from. Please provide the text related to Immigration Law Removal Defense so I can assist you better.
Q1: What is the purpose of the Form EOIR -26?,"A1: Form EOIR -26 is used to appeal the decision of an Immigration Judge. It requires the appellant to clearly explain the specific facts and law on which they base their appeal.

"
Q2: What happens if the Board of Immigration Appeals cannot understand the reason for the appeal from the Notice of Appeal or any attached statements?,"A2: The Board may summarily dismiss the appeal if it cannot understand the reason for the appeal from the Notice of Appeal or any attached statements.

"
"Q3: What should you do if you mark ""Yes"" in item #7 of the Form EOIR -26?","A3: If you mark ""Yes"" in item #7, you should also include in your statement why you believe your case warrants review by a three-member panel. The Board ordinarily will not grant a request for oral argument unless you also file a brief.

"
"Q4: What should you do if you mark ""Yes"" in item #8 of the Form EOIR -26?","A4: If you mark ""Yes"" in item #8, you will be expected to file a written brief or statement after you receive a briefing schedule from the Board. The Board may summarily dismiss your appeal if you do not file a brief or statement within the time set in the briefing schedule.

"
Q5: What should you do if you need more space to state the reasons for your appeal in the Form EOIR -26?,"A5: If you need more space to state the reasons for your appeal, you can use more sheets of paper. However, you must write your name(s) and “A” number(s) on every sheet.I'm sorry, but there's no text provided within the triple backticks for me to create questions and answers from. Please provide the text and I'll be happy to assist you."
Q1: What are the general instructions for completing the form EOIR-26?,"A1: The general instructions include providing all requested information, completing the form in English, providing a certified English translation for all non-English attachments, and signing the form.

"
Q2: What is the importance of serving a copy of the form and all attachments on the opposing party?,"A2: Serving a copy of the form and all attachments on the opposing party is a crucial part of the legal process, ensuring that all parties are informed and have access to the same information.

"
Q3: What is the consequence of not completing the form EOIR-26 properly?,"A3: If the form EOIR-26 is not completed properly, the appeal may be rejected or dismissed.

"
"Q4: Who is considered the ""Opposing Party"" if you are the Respondent or Applicant?","A4: If you are the Respondent or Applicant, the ""Opposing Party"" is the Assistant Chief Counsel of DHS - ICE.

"
Q5: What is the importance of the Proof of Service section in the form EOIR-26?,"A5: The Proof of Service section is important as it confirms that a copy of the Notice of Appeal has been mailed or delivered to the necessary parties.

"
Q6: What is the requirement if you move to a new address or change your telephone number?,"A6: If you move to a new address or change your telephone number, you must notify the Board within five working days using the Change of Address Form/Board of Immigration Appeals (Form EOIR -33/BIA).

"
Q7: What is the requirement if an attorney or representative signs the appeal for you?,"A7: If an attorney or representative signs the appeal for you, they must file with this appeal, a Notice of Entry of Appearance as Attorney or Representative Before the Board of Immigration Appeals (Form EOIR- 27).

"
Q8: What happens if you do not attach the fee or a completed Fee Waiver Request (Form EOIR-26A) to this appeal?,"A8: If you do not attach the fee or a completed Fee Waiver Request (Form EOIR-26A) to this appeal, your appeal may be rejected or dismissed.I'm sorry, but there's no text provided within the triple backticks for me to create flashcards from. Please provide the text and I'll be happy to assist you."
Q1: What is the purpose of the Fee Waiver Request form from the U.S. Department of Justice Executive Office for Immigration Review?,"A1: The Fee Waiver Request form is used by an individual (the respondent) who is unable to pay the filing fee for an application, motion, or appeal related to immigration. The respondent must provide evidence of their inability to pay.

"
Q2: Who is required to sign the AFFIDAVIT IN SUPPORT OF FEE WAIVER REQUEST?,"A2: The AFFIDAVIT IN SUPPORT OF FEE WAIVER REQUEST must be signed by the respondent, not the respondent’s attorney or representative of record.

"
Q3: Under what conditions may the Immigration Judge or the Board of Immigration Appeals (BIA) grant a fee waiver request?,"A3: The Immigration Judge may grant a fee waiver request for an EOIR application or motion filed with the Immigration Court if the respondent shows that they are unable to pay the filing fee. The BIA may grant a fee waiver request for an appeal or motion filed with the BIA if the respondent shows that they are unable to pay the filing fee.

"
Q4: What happens if the fee waiver request does not establish the respondent's inability to pay the required fee?,"A4: If the fee waiver request does not establish the respondent's inability to pay the required fee, the respondent's application, motion, or appeal will not be deemed properly filed.

"
Q5: What kind of income sources must be reported on the Fee Waiver Request form?,"A5: The respondent must report their average monthly income from all sources, including employment (including self-employment), income from real property (such as rental income), interest from checking and/or saving account(s), and all other income, including but not limited to alimony, child support, interest, dividends, social security, annuities, unemployment, public assistance, etc. 

"
Q6: What is the significance of 8 C.F.R. §§ 1003.8 and 1003.24(d) in relation to the Fee Waiver Request form?,"A6: 8 C.F.R. §§ 1003.8 and 1003.24(d) are the regulations that govern the fee waiver request process. They stipulate that the respondent must demonstrate their inability to pay the required fee for their application, motion, or appeal to be considered properly filed.I'm sorry, but there's no text provided within the triple backticks for me to create flashcards from. Please provide the necessary information so I can assist you better."
Q1: What is the purpose of estimating your average monthly expenses in the context of immigration law removal defense?,"A1: Estimating your average monthly expenses is crucial in determining your ability to pay the filing fee for your appeal, motion, or application. This information is used to assess eligibility for a fee waiver.

"
Q2: What are some of the expense sources that need to be considered when calculating average monthly expenses?,"A2: The expense sources include rent or home mortgage payments, utilities, installment payments or outstanding debts, living expenses such as food, clothing, transportation, child care, tuition, and all other expenses including alimony, child support, insurance, medical, health, any state or federal taxes, attorney fees, etc.

"
Q3: How is the ability to pay the filing fee calculated?,"A3: The ability to pay the filing fee is calculated by subtracting the total average monthly expenses from the total average monthly income.

"
Q4: What is the role of the attorney or representative in the fee waiver request process?,"A4: If an attorney or representative is submitting the form, they must review the details provided, attest that the fee waiver request is made in good faith, and complete, sign, and date the form.

"
Q5: What is the Paperwork Reduction Act Notice in the context of immigration law removal defense?,"A5: The Paperwork Reduction Act Notice states that a person is not required to respond to a collection of information unless it displays a valid OMB control number. It also provides information about the estimated average time to complete the form and where to send comments or suggestions for making the form simpler.

"
Q6: What is the Privacy Act Notice in the context of immigration law removal defense?,A6: The Privacy Act Notice informs that the information on the form is requested to determine eligibility for the fee waiver. It also states that EOIR may provide this information to other Government agencies and that failure to provide this information may result in denial of the request.
